gRNA	gene	list	value
m7748954	KDM6B	list	169
m7748979	KDM6B	list	122
m7749001	KDM6B	list	4
p7748858	KDM6B	list	99
p7748865	KDM6B	list	53
p7748875	KDM6B	list	87
p7748908	KDM6B	list	143
p7748983	KDM6B	list	194
p7749184	KDM6B	list	157
m27221443	KDM8	list	112
m27221478	KDM8	list	109
m27221484	KDM8	list	151
m27221508	KDM8	list	72
m27221521	KDM8	list	48
p27221490	KDM8	list	171
p27221534	KDM8	list	18
p27221557	KDM8	list	12
p27221596	KDM8	list	3
p27221601	KDM8	list	17
m55987265	KDR	list	88
m55987328	KDR	list	77
m55991395	KDR	list	81
m55991408	KDR	list	127
m55991417	KDR	list	51
m55991427	KDR	list	176
m55991441	KDR	list	17
m55991450	KDR	list	77
p55991379	KDR	list	142
p55991387	KDR	list	183
m10610569	KEAP1	list	154
m10610591	KEAP1	list	31
m10610635	KEAP1	list	16
m10610685	KEAP1	list	95
p10610535	KEAP1	list	6
p10610540	KEAP1	list	54
p10610552	KEAP1	list	96
p10610557	KEAP1	list	108
p10610583	KEAP1	list	48
p10610688	KEAP1	list	90
m74072464	KHDC3L	list	109
m74072476	KHDC3L	list	3
m74072512	KHDC3L	list	123
m74072549	KHDC3L	list	147
m74072556	KHDC3L	list	58
p74072444	KHDC3L	list	67
p74072503	KHDC3L	list	47
p74072519	KHDC3L	list	108
p74072528	KHDC3L	list	58
p74072559	KHDC3L	list	26
m32479595	KHDRBS1	list	27
m32479617	KHDRBS1	list	54
m32479680	KHDRBS1	list	36
m32479698	KHDRBS1	list	121
m32479710	KHDRBS1	list	13
p32479585	KHDRBS1	list	161
p32479619	KHDRBS1	list	38
p32479629	KHDRBS1	list	76
p32479637	KHDRBS1	list	78
p32479702	KHDRBS1	list	154
m62757834	KHDRBS2	list	71
m62757844	KHDRBS2	list	139
m62757851	KHDRBS2	list	149
m62757867	KHDRBS2	list	148
m62887091	KHDRBS2	list	90
m62995804	KHDRBS2	list	141
m62995822	KHDRBS2	list	134
m62995846	KHDRBS2	list	116
p62757836	KHDRBS2	list	161
p62995809	KHDRBS2	list	122
m136470126	KHDRBS3	list	72
m136470131	KHDRBS3	list	123
m136470163	KHDRBS3	list	129
m136470186	KHDRBS3	list	68
m136554926	KHDRBS3	list	86
p136470117	KHDRBS3	list	147
p136470135	KHDRBS3	list	38
p136470165	KHDRBS3	list	43
p136470175	KHDRBS3	list	83
p136533537	KHDRBS3	list	71
m6422352	KHSRP	list	2
m6424474	KHSRP	list	175
m6424501	KHSRP	list	6
m6424518	KHSRP	list	142
m6424692	KHSRP	list	19
p6422396	KHSRP	list	22
p6424460	KHSRP	list	44
p6424483	KHSRP	list	92
p6424491	KHSRP	list	47
p6424505	KHSRP	list	67
m2834142	KIAA0020	list	110
m2837264	KIAA0020	list	37
m2837333	KIAA0020	list	16
m2837352	KIAA0020	list	182
m2838495	KIAA0020	list	34
p2837175	KIAA0020	list	42
p2837215	KIAA0020	list	112
p2837229	KIAA0020	list	37
p2837325	KIAA0020	list	180
p2837355	KIAA0020	list	83
m175130051	KIAA0040	list	97
m175130063	KIAA0040	list	160
m175130087	KIAA0040	list	171
p175130021	KIAA0040	list	135
p175130031	KIAA0040	list	118
p175130043	KIAA0040	list	142
p175130070	KIAA0040	list	170
p175130077	KIAA0040	list	10
p175130110	KIAA0040	list	60
p175130128	KIAA0040	list	59
m26971142	KIAA0100	list	143
m26971155	KIAA0100	list	137
m26971168	KIAA0100	list	15
m26971188	KIAA0100	list	141
m26972008	KIAA0100	list	111
m26972049	KIAA0100	list	104
p26971159	KIAA0100	list	57
p26971170	KIAA0100	list	48
p26971998	KIAA0100	list	55
p26972035	KIAA0100	list	58
m64669024	KIAA0101	list	108
m64669051	KIAA0101	list	9
m64673158	KIAA0101	list	44
m64673163	KIAA0101	list	31
m64673541	KIAA0101	list	102
m64673564	KIAA0101	list	173
p64669054	KIAA0101	list	186
p64673166	KIAA0101	list	7
p64673172	KIAA0101	list	54
p64673196	KIAA0101	list	171
m141303517	KIAA0141	list	25
m141303529	KIAA0141	list	98
m141304154	KIAA0141	list	142
m141304168	KIAA0141	list	192
m141304173	KIAA0141	list	100
m141304189	KIAA0141	list	93
m141304196	KIAA0141	list	81
p141303499	KIAA0141	list	149
p141303508	KIAA0141	list	54
p141304157	KIAA0141	list	109
m48192478	KIAA0146	list	139
m48192483	KIAA0146	list	29
m48192488	KIAA0146	list	111
p48192467	KIAA0146	list	174
p48192497	KIAA0146	list	27
p48192504	KIAA0146	list	109
p48192512	KIAA0146	list	180
p48192540	KIAA0146	list	36
p48192546	KIAA0146	list	72
p48192551	KIAA0146	list	70
m73467986	KIAA0195	list	87
m73481517	KIAA0195	list	137
m73481534	KIAA0195	list	115
m73481539	KIAA0195	list	123
m73481551	KIAA0195	list	34
p73467976	KIAA0195	list	127
p73467988	KIAA0195	list	31
p73481508	KIAA0195	list	73
p73481521	KIAA0195	list	123
p73481543	KIAA0195	list	25
m126095454	KIAA0196	list	149
m126095475	KIAA0196	list	165
m126095487	KIAA0196	list	159
m126095988	KIAA0196	list	31
m126096020	KIAA0196	list	152
m126096092	KIAA0196	list	37
p126096059	KIAA0196	list	13
p126096073	KIAA0196	list	38
p126096082	KIAA0196	list	179
p126096101	KIAA0196	list	97
m197431964	KIAA0226	list	60
m197431998	KIAA0226	list	77
m197432030	KIAA0226	list	100
m197444849	KIAA0226	list	94
m197444865	KIAA0226	list	47
p197431955	KIAA0226	list	97
p197432012	KIAA0226	list	168
p197432018	KIAA0226	list	42
p197444834	KIAA0226	list	8
p197444852	KIAA0226	list	187
m46946530	KIAA0226L	list	85
m46946564	KIAA0226L	list	192
m46946573	KIAA0226L	list	106
m46946585	KIAA0226L	list	26
p46946473	KIAA0226L	list	25
p46946480	KIAA0226L	list	6
p46946492	KIAA0226L	list	191
p46946499	KIAA0226L	list	171
p46946544	KIAA0226L	list	30
p46946554	KIAA0226L	list	85
m6826219	KIAA0232	list	107
m6826246	KIAA0232	list	85
m6826251	KIAA0232	list	96
m6826304	KIAA0232	list	172
p6826185	KIAA0232	list	143
p6826225	KIAA0232	list	122
p6826266	KIAA0232	list	113
p6826283	KIAA0232	list	45
p6826288	KIAA0232	list	152
p6826309	KIAA0232	list	162
m70125317	KIAA0247	list	69
m70125333	KIAA0247	list	100
m70125343	KIAA0247	list	16
m70125361	KIAA0247	list	23
m70125383	KIAA0247	list	192
m70125398	KIAA0247	list	31
p70125335	KIAA0247	list	139
p70125345	KIAA0247	list	83
p70125351	KIAA0247	list	108
p70125390	KIAA0247	list	128
m24570206	KIAA0319	list	131
m24570239	KIAA0319	list	198
m24572804	KIAA0319	list	34
m24572826	KIAA0319	list	175
m24572845	KIAA0319	list	191
m24572862	KIAA0319	list	61
p24570208	KIAA0319	list	74
p24570213	KIAA0319	list	141
p24570226	KIAA0319	list	181
p24572787	KIAA0319	list	49
m35972648	KIAA0319L	list	170
m35972677	KIAA0319L	list	192
m35972690	KIAA0319L	list	162
m36019952	KIAA0319L	list	172
m36020014	KIAA0319L	list	186
m36020053	KIAA0319L	list	101
m36020083	KIAA0319L	list	132
p35972640	KIAA0319L	list	99
p35972710	KIAA0319L	list	87
p36020071	KIAA0319L	list	56
m34791377	KIAA0355	list	191
m34791431	KIAA0355	list	16
m34791445	KIAA0355	list	15
m34791467	KIAA0355	list	120
m34791476	KIAA0355	list	135
m34791483	KIAA0355	list	48
m34791511	KIAA0355	list	191
m34791538	KIAA0355	list	43
m34791553	KIAA0355	list	73
p34791414	KIAA0355	list	200
m114246644	KIAA0368	list	133
m114246705	KIAA0368	list	82
m114246710	KIAA0368	list	58
m114246716	KIAA0368	list	11
m114246737	KIAA0368	list	8
m114246783	KIAA0368	list	132
m114247016	KIAA0368	list	100
p114246668	KIAA0368	list	141
p114246787	KIAA0368	list	197
p114246998	KIAA0368	list	141
m35596795	KIAA0391	list	120
m35649962	KIAA0391	list	151
m35735960	KIAA0391	list	154
m35735985	KIAA0391	list	87
m35736017	KIAA0391	list	157
p35596763	KIAA0391	list	50
p35735942	KIAA0391	list	91
p35735965	KIAA0391	list	135
p35735987	KIAA0391	list	180
p35736005	KIAA0391	list	1
m127775021	KIAA0408	list	119
m127775032	KIAA0408	list	134
m127775080	KIAA0408	list	86
m127775087	KIAA0408	list	196
m127775107	KIAA0408	list	188
p127771395	KIAA0408	list	105
p127771406	KIAA0408	list	128
p127771469	KIAA0408	list	104
p127775035	KIAA0408	list	190
p127775098	KIAA0408	list	137
m15730159	KIAA0430	list	10
m15730168	KIAA0430	list	163
m15733006	KIAA0430	list	8
m15733012	KIAA0430	list	14
m15733076	KIAA0430	list	91
m15733082	KIAA0430	list	145
p15732931	KIAA0430	list	118
p15732956	KIAA0430	list	81
p15732992	KIAA0430	list	126
p15733039	KIAA0430	list	98
m85100698	KIAA0513	list	162
m85100725	KIAA0513	list	22
m85100763	KIAA0513	list	134
m85100819	KIAA0513	list	31
m85100860	KIAA0513	list	95
p85100706	KIAA0513	list	123
p85100769	KIAA0513	list	112
p85100808	KIAA0513	list	119
p85100826	KIAA0513	list	35
p85100852	KIAA0513	list	190
m27585242	KIAA0556	list	162
m27640012	KIAA0556	list	82
p27561476	KIAA0556	list	98
p27585216	KIAA0556	list	10
p27585230	KIAA0556	list	169
p27629735	KIAA0556	list	34
p27629741	KIAA0556	list	167
p27629794	KIAA0556	list	96
p27629800	KIAA0556	list	111
p27640014	KIAA0556	list	62
m58909523	KIAA0586	list	183
m58909572	KIAA0586	list	80
m58910748	KIAA0586	list	185
p58909468	KIAA0586	list	66
p58909483	KIAA0586	list	107
p58909505	KIAA0586	list	142
p58909528	KIAA0586	list	43
p58909576	KIAA0586	list	189
p58910709	KIAA0586	list	171
p58910762	KIAA0586	list	46
m6538360	KIAA0753	list	31
m6538378	KIAA0753	list	102
m6538415	KIAA0753	list	107
p6531985	KIAA0753	list	48
p6532011	KIAA0753	list	83
p6532036	KIAA0753	list	101
p6538327	KIAA0753	list	183
p6538350	KIAA0753	list	98
p6538385	KIAA0753	list	71
p6538394	KIAA0753	list	145
m39875961	KIAA0754	list	102
m39876039	KIAA0754	list	166
p39875950	KIAA0754	list	199
p39876002	KIAA0754	list	11
p39876022	KIAA0754	list	143
p39876043	KIAA0754	list	179
p39876065	KIAA0754	list	141
p39876135	KIAA0754	list	53
p39876144	KIAA0754	list	190
p39876194	KIAA0754	list	47
m93856567	KIAA0825	list	90
m93856579	KIAA0825	list	37
m93859715	KIAA0825	list	198
m93859752	KIAA0825	list	200
m93872758	KIAA0825	list	194
m93872766	KIAA0825	list	190
m93872824	KIAA0825	list	124
p93859731	KIAA0825	list	59
p93872745	KIAA0825	list	109
p93872770	KIAA0825	list	94
m36396796	KIAA0895	list	118
m36396801	KIAA0895	list	195
m36396870	KIAA0895	list	44
m36396878	KIAA0895	list	55
m36396888	KIAA0895	list	44
m36396895	KIAA0895	list	43
p36396720	KIAA0895	list	55
p36396728	KIAA0895	list	113
p36396811	KIAA0895	list	109
p36396857	KIAA0895	list	12
m67214203	KIAA0895L	list	135
m67214292	KIAA0895L	list	77
m67214498	KIAA0895L	list	171
p67214272	KIAA0895L	list	103
p67214281	KIAA0895L	list	47
p67214298	KIAA0895L	list	96
p67214402	KIAA0895L	list	140
p67214416	KIAA0895L	list	133
p67214422	KIAA0895L	list	143
p67214427	KIAA0895L	list	182
m155903494	KIAA0907	list	120
m155903512	KIAA0907	list	89
m155903520	KIAA0907	list	6
m155903584	KIAA0907	list	54
m155903626	KIAA0907	list	35
m155904128	KIAA0907	list	17
m155904156	KIAA0907	list	7
p155903502	KIAA0907	list	187
p155903614	KIAA0907	list	67
p155904117	KIAA0907	list	114
m154387563	KIAA0922	list	15
m154387569	KIAA0922	list	60
m154387576	KIAA0922	list	120
m154387590	KIAA0922	list	121
m154387595	KIAA0922	list	37
m154387635	KIAA0922	list	107
p154387578	KIAA0922	list	128
p154387597	KIAA0922	list	74
p154387608	KIAA0922	list	113
p154387637	KIAA0922	list	138
m45607838	KIAA0930	list	152
m45607845	KIAA0930	list	45
m45607855	KIAA0930	list	176
m45607877	KIAA0930	list	121
m45607931	KIAA0930	list	137
m45607959	KIAA0930	list	83
m45607979	KIAA0930	list	102
p45607862	KIAA0930	list	32
p45607917	KIAA0930	list	198
p45607949	KIAA0930	list	116
m5423029	KIAA0947	list	5
m5423061	KIAA0947	list	33
m5423078	KIAA0947	list	129
m5423101	KIAA0947	list	144
p5423015	KIAA0947	list	64
p5423033	KIAA0947	list	159
p5423040	KIAA0947	list	136
p5423045	KIAA0947	list	182
p5423069	KIAA0947	list	151
p5440004	KIAA0947	list	112
m84925495	KIAA1009	list	193
m84925534	KIAA1009	list	10
m84925583	KIAA1009	list	31
m84925633	KIAA1009	list	147
m84930805	KIAA1009	list	189
m84936056	KIAA1009	list	68
p84925506	KIAA1009	list	139
p84925567	KIAA1009	list	66
p84930788	KIAA1009	list	70
p84936074	KIAA1009	list	166
m79748499	KIAA1024	list	86
m79748514	KIAA1024	list	49
m79748562	KIAA1024	list	1
m79748578	KIAA1024	list	143
m79748598	KIAA1024	list	18
m79748608	KIAA1024	list	186
m79748622	KIAA1024	list	9
m79748672	KIAA1024	list	127
p79748482	KIAA1024	list	192
p79748521	KIAA1024	list	149
m105501601	KIAA1033	list	42
m105501619	KIAA1033	list	12
m105504914	KIAA1033	list	82
m105504921	KIAA1033	list	185
m105504959	KIAA1033	list	187
p105501608	KIAA1033	list	138
p105504927	KIAA1033	list	71
p105504966	KIAA1033	list	143
p105504979	KIAA1033	list	4
p105504989	KIAA1033	list	144
m34971314	KIAA1045	list	29
m34971395	KIAA1045	list	23
p34971306	KIAA1045	list	106
p34971321	KIAA1045	list	2
p34971330	KIAA1045	list	64
p34971348	KIAA1045	list	190
p34971353	KIAA1045	list	74
p34971359	KIAA1045	list	13
p34971365	KIAA1045	list	29
p34971385	KIAA1045	list	60
m92634442	KIAA1107	list	22
m92634472	KIAA1107	list	83
m92634547	KIAA1107	list	187
p92633415	KIAA1107	list	42
p92633478	KIAA1107	list	200
p92633484	KIAA1107	list	107
p92633514	KIAA1107	list	4
p92633520	KIAA1107	list	134
p92634451	KIAA1107	list	96
p92634489	KIAA1107	list	44
m123091835	KIAA1109	list	119
m123091878	KIAA1109	list	140
m123091894	KIAA1109	list	155
m123094205	KIAA1109	list	37
p123091791	KIAA1109	list	28
p123091866	KIAA1109	list	181
p123094220	KIAA1109	list	101
p123094228	KIAA1109	list	152
p123094270	KIAA1109	list	70
p123094285	KIAA1109	list	91
m141401733	KIAA1147	list	158
m141401739	KIAA1147	list	45
m141401761	KIAA1147	list	194
m141401790	KIAA1147	list	119
m141401859	KIAA1147	list	40
m141401909	KIAA1147	list	24
m141401934	KIAA1147	list	177
m141401942	KIAA1147	list	23
p141401741	KIAA1147	list	148
p141401881	KIAA1147	list	46
p34372782	KIAA1161	list	76
p34372800	KIAA1161	list	159
p34372805	KIAA1161	list	150
p34372824	KIAA1161	list	13
p34372833	KIAA1161	list	76
p34372839	KIAA1161	list	160
p34372867	KIAA1161	list	47
p34372874	KIAA1161	list	127
p34372906	KIAA1161	list	142
p34372913	KIAA1161	list	83
m175779743	KIAA1191	list	43
m175782575	KIAA1191	list	100
m175782618	KIAA1191	list	46
m175782668	KIAA1191	list	24
m175782709	KIAA1191	list	99
p175782560	KIAA1191	list	101
p175782580	KIAA1191	list	113
p175782674	KIAA1191	list	47
p175782690	KIAA1191	list	92
p175782695	KIAA1191	list	177
m81166249	KIAA1199	list	16
m81166269	KIAA1199	list	119
m81166305	KIAA1199	list	113
m81171077	KIAA1199	list	49
p81166211	KIAA1199	list	21
p81166219	KIAA1199	list	43
p81166234	KIAA1199	list	146
p81166254	KIAA1199	list	129
p81166277	KIAA1199	list	165
p81171049	KIAA1199	list	37
m57173699	KIAA1211	list	169
m57173742	KIAA1211	list	38
m57173749	KIAA1211	list	106
p57164384	KIAA1211	list	133
p57164460	KIAA1211	list	79
p57164472	KIAA1211	list	25
p57173687	KIAA1211	list	13
p57173706	KIAA1211	list	74
p57173713	KIAA1211	list	131
p57173751	KIAA1211	list	156
m99454643	KIAA1211L	list	42
m99454674	KIAA1211L	list	7
m99463209	KIAA1211L	list	117
m99463216	KIAA1211L	list	54
m99463226	KIAA1211L	list	169
m99463244	KIAA1211L	list	54
m99463250	KIAA1211L	list	124
p99454655	KIAA1211L	list	82
p99454662	KIAA1211L	list	124
p99463233	KIAA1211L	list	88
m24508765	KIAA1217	list	192
m24508791	KIAA1217	list	56
m24508800	KIAA1217	list	11
m24669809	KIAA1217	list	163
p24508720	KIAA1217	list	95
p24508725	KIAA1217	list	62
p24508803	KIAA1217	list	133
p24508816	KIAA1217	list	127
p24669820	KIAA1217	list	196
p24669829	KIAA1217	list	125
m37246698	KIAA1239	list	48
m37246729	KIAA1239	list	107
m37246769	KIAA1239	list	8
m37246777	KIAA1239	list	6
m37246782	KIAA1239	list	117
m37246801	KIAA1239	list	175
m37246814	KIAA1239	list	162
p37246680	KIAA1239	list	183
p37246740	KIAA1239	list	149
p37246751	KIAA1239	list	187
m128712023	KIAA1257	list	34
m128712035	KIAA1257	list	179
m128712047	KIAA1257	list	36
m128712119	KIAA1257	list	72
m128712125	KIAA1257	list	187
m128712131	KIAA1257	list	148
p128712009	KIAA1257	list	138
p128712050	KIAA1257	list	179
p128712075	KIAA1257	list	48
p128712090	KIAA1257	list	116
m70748603	KIAA1279	list	122
m70748629	KIAA1279	list	80
m70748672	KIAA1279	list	135
m70748684	KIAA1279	list	88
m70748694	KIAA1279	list	119
p70748583	KIAA1279	list	72
p70748590	KIAA1279	list	185
p70748608	KIAA1279	list	168
p70748632	KIAA1279	list	91
p70748686	KIAA1279	list	122
m109730870	KIAA1324	list	147
m109730889	KIAA1324	list	27
m109730896	KIAA1324	list	6
m109730901	KIAA1324	list	6
m109730925	KIAA1324	list	16
m109730950	KIAA1324	list	183
p109730796	KIAA1324	list	124
p109730830	KIAA1324	list	141
p109730855	KIAA1324	list	30
p109730933	KIAA1324	list	14
m86571374	KIAA1324L	list	21
m86571395	KIAA1324L	list	116
m86574272	KIAA1324L	list	165
m86574309	KIAA1324L	list	85
m86574344	KIAA1324L	list	95
m86574355	KIAA1324L	list	178
p86571380	KIAA1324L	list	165
p86574228	KIAA1324L	list	142
p86574261	KIAA1324L	list	57
p86574326	KIAA1324L	list	7
m34409131	KIAA1328	list	59
m34409154	KIAA1328	list	199
m34415274	KIAA1328	list	96
p34409091	KIAA1328	list	94
p34409133	KIAA1328	list	73
p34414296	KIAA1328	list	96
p34415189	KIAA1328	list	84
p34415317	KIAA1328	list	94
p34424243	KIAA1328	list	51
p34465576	KIAA1328	list	180
m101786034	KIAA1377	list	178
m101786097	KIAA1377	list	113
m101786104	KIAA1377	list	98
m101786128	KIAA1377	list	35
m101793416	KIAA1377	list	149
m101815040	KIAA1377	list	66
p101786002	KIAA1377	list	27
p101786026	KIAA1377	list	72
p101786053	KIAA1377	list	83
p101786111	KIAA1377	list	119
m113765439	KIAA1407	list	190
m113765503	KIAA1407	list	62
m113772445	KIAA1407	list	57
m113775225	KIAA1407	list	12
m113775241	KIAA1407	list	21
p113765543	KIAA1407	list	82
p113772447	KIAA1407	list	80
p113775212	KIAA1407	list	103
p113775278	KIAA1407	list	171
p113775285	KIAA1407	list	104
m95556056	KIAA1429	list	181
m95556151	KIAA1429	list	35
m95565656	KIAA1429	list	191
m95565662	KIAA1429	list	37
m95565668	KIAA1429	list	133
p95550539	KIAA1429	list	83
p95556064	KIAA1429	list	3
p95556078	KIAA1429	list	103
p95556117	KIAA1429	list	149
p95565601	KIAA1429	list	58
m186111949	KIAA1430	list	11
m186112027	KIAA1430	list	151
m186112282	KIAA1430	list	76
m186112316	KIAA1430	list	77
m186112324	KIAA1430	list	116
m186112339	KIAA1430	list	174
p186111984	KIAA1430	list	120
p186112089	KIAA1430	list	16
p186112210	KIAA1430	list	145
p186112289	KIAA1430	list	118
m5629333	KIAA1432	list	192
m5629362	KIAA1432	list	77
m5629367	KIAA1432	list	143
m5629375	KIAA1432	list	176
m5629380	KIAA1432	list	113
m5629391	KIAA1432	list	194
m5629396	KIAA1432	list	176
p5629316	KIAA1432	list	175
p5629398	KIAA1432	list	107
p5629404	KIAA1432	list	155
m30336595	KIAA1462	list	95
m30336607	KIAA1462	list	154
m30336619	KIAA1462	list	20
m30336625	KIAA1462	list	25
m30336637	KIAA1462	list	17
m30336709	KIAA1462	list	45
p30336599	KIAA1462	list	90
p30336629	KIAA1462	list	120
p30336661	KIAA1462	list	132
p30336698	KIAA1462	list	168
m13197338	KIAA1467	list	181
m13197347	KIAA1467	list	191
m13208519	KIAA1467	list	198
m13208526	KIAA1467	list	168
m13208606	KIAA1467	list	48
p13197351	KIAA1467	list	149
p13208483	KIAA1467	list	51
p13208506	KIAA1467	list	7
p13208536	KIAA1467	list	94
p13208558	KIAA1467	list	108
p59854728	KIAA1468	list	188
p59854735	KIAA1468	list	112
p59854744	KIAA1468	list	176
p59854750	KIAA1468	list	181
p59854782	KIAA1468	list	117
p59854788	KIAA1468	list	150
p59854800	KIAA1468	list	192
p59854815	KIAA1468	list	90
p59854820	KIAA1468	list	97
p59854835	KIAA1468	list	185
m33233396	KIAA1522	list	173
m33233443	KIAA1522	list	59
m33233466	KIAA1522	list	171
m33233501	KIAA1522	list	156
p33233376	KIAA1522	list	17
p33233404	KIAA1522	list	174
p33233410	KIAA1522	list	113
p33233415	KIAA1522	list	45
p33233445	KIAA1522	list	30
p33233468	KIAA1522	list	127
m108303913	KIAA1524	list	49
m108303931	KIAA1524	list	183
m108308155	KIAA1524	list	3
p108303942	KIAA1524	list	2
p108303965	KIAA1524	list	19
p108308144	KIAA1524	list	60
p108308167	KIAA1524	list	7
p108308174	KIAA1524	list	39
p108308186	KIAA1524	list	7
p108308192	KIAA1524	list	4
m138604172	KIAA1549	list	177
m138665850	KIAA1549	list	126
m138665855	KIAA1549	list	78
m138665868	KIAA1549	list	191
m138665974	KIAA1549	list	128
p138604122	KIAA1549	list	128
p138604136	KIAA1549	list	48
p138604150	KIAA1549	list	18
p138665906	KIAA1549	list	50
p138665914	KIAA1549	list	149
m33564028	KIAA1549L	list	198
m33564112	KIAA1549L	list	31
m33564150	KIAA1549L	list	78
m33564185	KIAA1549L	list	27
m33564225	KIAA1549L	list	183
p33564033	KIAA1549L	list	86
p33564042	KIAA1549L	list	149
p33564114	KIAA1549L	list	163
p33564195	KIAA1549L	list	146
p33564231	KIAA1549L	list	144
m32133910	KIAA1551	list	90
m32133966	KIAA1551	list	149
m32133981	KIAA1551	list	132
m32133989	KIAA1551	list	190
m32134018	KIAA1551	list	81
m32134029	KIAA1551	list	154
m32134048	KIAA1551	list	130
m32134063	KIAA1551	list	165
p32133875	KIAA1551	list	139
p32133997	KIAA1551	list	169
m56915580	KIAA1586	list	149
m56915633	KIAA1586	list	11
m56915641	KIAA1586	list	105
m56917615	KIAA1586	list	98
m56917657	KIAA1586	list	175
p56915588	KIAA1586	list	142
p56915595	KIAA1586	list	109
p56917581	KIAA1586	list	160
p56917587	KIAA1586	list	186
p56917685	KIAA1586	list	124
m118713602	KIAA1598	list	22
m118713665	KIAA1598	list	165
m118713675	KIAA1598	list	40
m118719648	KIAA1598	list	29
m118719657	KIAA1598	list	128
m118719723	KIAA1598	list	97
p118713571	KIAA1598	list	140
p118713638	KIAA1598	list	200
p118713649	KIAA1598	list	152
p118719678	KIAA1598	list	30
m180885296	KIAA1614	list	27
m180885359	KIAA1614	list	195
m180885365	KIAA1614	list	73
m180885388	KIAA1614	list	109
m180885479	KIAA1614	list	31
p180882364	KIAA1614	list	2
p180885281	KIAA1614	list	165
p180885287	KIAA1614	list	133
p180885332	KIAA1614	list	100
p180885412	KIAA1614	list	82
m44692704	KIAA1644	list	152
m44692747	KIAA1644	list	152
m44696814	KIAA1644	list	171
p44692693	KIAA1644	list	179
p44692713	KIAA1644	list	93
p44692726	KIAA1644	list	51
p44696765	KIAA1644	list	183
p44696780	KIAA1644	list	192
p44696788	KIAA1644	list	34
p44696798	KIAA1644	list	58
m25423973	KIAA1671	list	114
m25423994	KIAA1671	list	184
m25424012	KIAA1671	list	56
m25424017	KIAA1671	list	12
m25424022	KIAA1671	list	146
p25423955	KIAA1671	list	19
p25423962	KIAA1671	list	163
p25423986	KIAA1671	list	119
p25423996	KIAA1671	list	143
p25424001	KIAA1671	list	116
m45563803	KIAA1704	list	36
m45563813	KIAA1704	list	22
m45563818	KIAA1704	list	100
m45563825	KIAA1704	list	131
m45563838	KIAA1704	list	41
p45563786	KIAA1704	list	59
p45563791	KIAA1704	list	21
p45563827	KIAA1704	list	80
p45563841	KIAA1704	list	7
p45563855	KIAA1704	list	51
m176829253	KIAA1715	list	17
m176829263	KIAA1715	list	128
m176829304	KIAA1715	list	46
m176857026	KIAA1715	list	73
m176857121	KIAA1715	list	191
m176857133	KIAA1715	list	2
p176844535	KIAA1715	list	13
p176856943	KIAA1715	list	141
p176856994	KIAA1715	list	114
p176857044	KIAA1715	list	127
m93400800	KIAA1731	list	86
p93399902	KIAA1731	list	4
p93399937	KIAA1731	list	123
p93400831	KIAA1731	list	111
p93400837	KIAA1731	list	8
p93400845	KIAA1731	list	180
p93400854	KIAA1731	list	65
p93400921	KIAA1731	list	190
p93400927	KIAA1731	list	164
p93400939	KIAA1731	list	14
m77572084	KIAA1737	list	100
m77576153	KIAA1737	list	84
p77572037	KIAA1737	list	53
p77572090	KIAA1737	list	169
p77572110	KIAA1737	list	73
p77572123	KIAA1737	list	184
p77572128	KIAA1737	list	16
p77572149	KIAA1737	list	16
p77572156	KIAA1737	list	46
p77576143	KIAA1737	list	88
m36874440	KIAA1755	list	146
m36874446	KIAA1755	list	169
m36874487	KIAA1755	list	90
p36874429	KIAA1755	list	74
p36874451	KIAA1755	list	69
p36874461	KIAA1755	list	21
p36874470	KIAA1755	list	100
p36874479	KIAA1755	list	107
p36874494	KIAA1755	list	57
p36874499	KIAA1755	list	34
m233463837	KIAA1804	list	29
m233463962	KIAA1804	list	121
p233463848	KIAA1804	list	36
p233463857	KIAA1804	list	40
p233463902	KIAA1804	list	147
p233463909	KIAA1804	list	30
p233463914	KIAA1804	list	70
p233463931	KIAA1804	list	170
p233463936	KIAA1804	list	2
p233463977	KIAA1804	list	111
m61297520	KIAA1841	list	12
m61297535	KIAA1841	list	140
m61297556	KIAA1841	list	101
m61297563	KIAA1841	list	110
m61297578	KIAA1841	list	192
p61297523	KIAA1841	list	134
p61297548	KIAA1841	list	16
p61297570	KIAA1841	list	155
p61297585	KIAA1841	list	187
p61297596	KIAA1841	list	81
m111583487	KIAA1919	list	191
m111583518	KIAA1919	list	198
m111585053	KIAA1919	list	159
p111580902	KIAA1919	list	102
p111583458	KIAA1919	list	110
p111583479	KIAA1919	list	113
p111583552	KIAA1919	list	105
p111583564	KIAA1919	list	183
p111585024	KIAA1919	list	165
p111585037	KIAA1919	list	180
m115336382	KIAA1958	list	98
m115336400	KIAA1958	list	67
m115336418	KIAA1958	list	114
m115336425	KIAA1958	list	89
m115336443	KIAA1958	list	50
m115336450	KIAA1958	list	90
m115336455	KIAA1958	list	196
p115336391	KIAA1958	list	61
p115336405	KIAA1958	list	6
p115336462	KIAA1958	list	164
m22463285	KIAA1967	list	197
m22463306	KIAA1967	list	173
m22463625	KIAA1967	list	36
m22463632	KIAA1967	list	71
m22463647	KIAA1967	list	65
m22463657	KIAA1967	list	4
m22463669	KIAA1967	list	176
p22463287	KIAA1967	list	63
p22463598	KIAA1967	list	130
p22463611	KIAA1967	list	135
m139690850	KIAA1984	list	66
m139690889	KIAA1984	list	150
m139690904	KIAA1984	list	147
p139690835	KIAA1984	list	191
